fred_md_id,api_id,title,source_title,release_title,source_link,release_link,release_time,latex_equation,tcode,frequency
IPCONGD,IPCONGD,Industrial Production: Consumer Goods (IPCONGD),Board of Governors of the Federal Reserve System (US),G.17 Industrial Production and Capacity Utilization,http://www.federalreserve.gov/,http://www.federalreserve.gov/releases/g17/,,$\Delta \log(x_t)$,5,Monthly
IPDCONGD,IPDCONGD,Industrial Production: Durable Consumer Goods (IPDCONGD),Board of Governors of the Federal Reserve System (US),G.17 Industrial Production and Capacity Utilization,http://www.federalreserve.gov/,http://www.federalreserve.gov/releases/g17/,,$\Delta \log(x_t)$,5,Monthly
IPDMAT,IPDMAT,Industrial Production: Durable Goods Materials (IPDMAT),Board of Governors of the Federal Reserve System (US),G.17 Industrial Production and Capacity Utilization,http://www.federalreserve.gov/,http://www.federalreserve.gov/releases/g17/,,$\Delta \log(x_t)$,5,Monthly
IPFINAL,IPFINAL,Industrial Production: Final Products (IPFINAL),Board of Governors of the Federal Reserve System (US),G.17 Industrial Production and Capacity Utilization,http://www.federalreserve.gov/,http://www.federalreserve.gov/releases/g17/,,$\Delta \log(x_t)$,5,Monthly
IPFPNSS,IPFPNSS,Industrial Production: Final Products and Nonindustrial Supplies (IPFPNSS),Board of Governors of the Federal Reserve System (US),G.17 Industrial Production and Capacity Utilization,http://www.federalreserve.gov/,http://www.federalreserve.gov/releases/g17/,,$\Delta \log(x_t)$,5,Monthly
IPFUELS,IPFUELS,Industrial Production: Non-Durable Consumer Energy Products: Fuels (IPFUELS),Board of Governors of the Federal Reserve System (US),G.17 Industrial Production and Capacity Utilization,http://www.federalreserve.gov/,http://www.federalreserve.gov/releases/g17/,,$\Delta \log(x_t)$,5,Monthly
IPMANSICS,IPMANSICS,Industrial Production: Manufacturing (SIC) (IPMANSICS),Board of Governors of the Federal Reserve System (US),G.17 Industrial Production and Capacity Utilization,http://www.federalreserve.gov/,http://www.federalreserve.gov/releases/g17/,,$\Delta \log(x_t)$,5,Monthly
IPMAT,IPMAT,Industrial Production: Materials (IPMAT),Board of Governors of the Federal Reserve System (US),G.17 Industrial Production and Capacity Utilization,http://www.federalreserve.gov/,http://www.federalreserve.gov/releases/g17/,,$\Delta \log(x_t)$,5,Monthly
IPNCONGD,IPNCONGD,Industrial Production: Non-Durable Consumer Goods (IPNCONGD),Board of Governors of the Federal Reserve System (US),G.17 Industrial Production and Capacity Utilization,http://www.federalreserve.gov/,http://www.federalreserve.gov/releases/g17/,,$\Delta \log(x_t)$,5,Monthly
IPNMAT,IPNMAT,Industrial Production: Non-Durable Goods Materials (IPNMAT),Board of Governors of the Federal Reserve System (US),G.17 Industrial Production and Capacity Utilization,http://www.federalreserve.gov/,http://www.federalreserve.gov/releases/g17/,,$\Delta \log(x_t)$,5,Monthly
ISRATIOx,ISRATIO,Total Business: Inventories to Sales Ratio (ISRATIO),U.S. Census Bureau,Manufacturing and Trade Inventories and Sales,http://www.census.gov/,http://www.census.gov/mtis/www/mtis.html,,$\Delta x_t$,2,"Monthly,End of Period"
HWI,JTSJOL,Job Openings: Total Nonfarm (JTSJOL),U.S. Bureau of Labor Statistics,Job Openings and Labor Turnover Survey,https://www.bls.gov/,http://www.bls.gov/jlt/,,$\Delta x_t$,2,Monthly
M1SL,M1SL,M1 (M1SL),Board of Governors of the Federal Reserve System (US),H.6 Money Stock Measures,http://www.federalreserve.gov/,http://www.federalreserve.gov/releases/h6/,,$\Delta^2 \log(x_t)$,6,Monthly
M2REAL,M2REAL,Real M2 Money Stock (M2REAL),Federal Reserve Bank of St. Louis,Real Money Stock Measures,http://www.stlouisfed.org/,,,$\Delta \log(x_t)$,5,Monthly
M2SL,M2SL,M2 (M2SL),Board of Governors of the Federal Reserve System (US),H.6 Money Stock Measures,http://www.federalreserve.gov/,http://www.federalreserve.gov/releases/h6/,,$\Delta^2 \log(x_t)$,6,Monthly
MANEMP,MANEMP,"All Employees, Manufacturing (MANEMP)",U.S. Bureau of Labor Statistics,Employment Situation,https://www.bls.gov/,http://www.bls.gov/ces/,,$\Delta \log(x_t)$,5,Monthly
OILPRICEx,MCOILWTICO,"Crude Oil Prices: West Texas Intermediate (WTI) - Cushing, Oklahoma (MCOILWTICO)",U.S. Energy Information Administration,Spot Prices,http://www.eia.gov/,http://www.eia.doe.gov/dnav/pet/pet_pri_spt_s1_d.htm,Continuous,$\Delta^2 \log(x_t)$,6,Monthly
NDMANEMP,NDMANEMP,"All Employees, Nondurable Goods (NDMANEMP)",U.S. Bureau of Labor Statistics,Employment Situation,https://www.bls.gov/,http://www.bls.gov/ces/,,$\Delta \log(x_t)$,5,Monthly
NONBORRES,NONBORRES,"Reserves of Depository Institutions, Nonborrowed (NONBORRES)",Board of Governors of the Federal Reserve System (US),H.6 Money Stock Measures,http://www.federalreserve.gov/,http://www.federalreserve.gov/releases/h6/,,$\Delta (x_t/x_{tâˆ’1} - 1.0)$,7,Monthly
CONSPI,NONREVSL,Nonrevolving Consumer Credit Owned and Securitized (NONREVSL),Board of Governors of the Federal Reserve System (US),G.19 Consumer Credit,http://www.federalreserve.gov/,http://www.federalreserve.gov/releases/g19/,,$\Delta^2 \log(x_t)$,6,Monthly
PAYEMS,PAYEMS,"All Employees, Total Nonfarm (PAYEMS)",U.S. Bureau of Labor Statistics,Employment Situation,https://www.bls.gov/,http://www.bls.gov/ces/,,$\Delta \log(x_t)$,5,Monthly
PCEPI,PCEPI,Personal Consumption Expenditures: Chain-type Price Index (PCEPI),U.S. Bureau of Economic Analysis,Personal Income and Outlays,http://www.bea.gov/,https://www.bea.gov/data/income-saving/personal-income,,$\Delta^2 \log(x_t)$,6,Monthly
PERMIT,PERMIT,New Privately-Owned Housing Units Authorized in Permit-Issuing Places: Total Units (PERMIT),U.S. Census Bureau,New Residential Construction,http://www.census.gov/,http://www.census.gov/construction/nrc/,,$\log(x_t)$,4,Monthly
PERMITMW,PERMITMW,New Privately-Owned Housing Units Authorized in Permit-Issuing Places: Total Units in the Midwest Census Region (PERMITMW),U.S. Census Bureau,New Residential Construction,http://www.census.gov/,http://www.census.gov/construction/nrc/,,$\log(x_t)$,4,Monthly
PERMITNE,PERMITNE,New Privately-Owned Housing Units Authorized in Permit-Issuing Places: Total Units in the Northeast Census Region (PERMITNE),U.S. Census Bureau,New Residential Construction,http://www.census.gov/,http://www.census.gov/construction/nrc/,,$\log(x_t)$,4,Monthly
PERMITS,PERMITS,New Privately-Owned Housing Units Authorized in Permit-Issuing Places: Total Units in the South Census Region (PERMITS),U.S. Census Bureau,New Residential Construction,http://www.census.gov/,http://www.census.gov/construction/nrc/,,$\log(x_t)$,4,Monthly
PERMITW,PERMITW,New Privately-Owned Housing Units Authorized in Permit-Issuing Places: Total Units in the West Census Region (PERMITW),U.S. Census Bureau,New Residential Construction,http://www.census.gov/,http://www.census.gov/construction/nrc/,,$\log(x_t)$,4,Monthly
,PI,Personal Income (PI),U.S. Bureau of Economic Analysis,Personal Income and Outlays,http://www.bea.gov/,https://www.bea.gov/data/income-saving/personal-income,,,,Monthly
PPICMM,PPICMM,Producer Price Index by Commodity: Metals and Metal Products: Primary Nonferrous Metals (PPICMM),U.S. Bureau of Labor Statistics,Producer Price Index,https://www.bls.gov/,http://www.bls.gov/ppi/,,$\Delta^2 \log(x_t)$,6,Monthly
REALLN,REALLN,"Real Estate Loans, All Commercial Banks (REALLN)",Board of Governors of the Federal Reserve System (US),H.8 Assets and Liabilities of Commercial Banks in the United States,http://www.federalreserve.gov/,http://www.federalreserve.gov/releases/h8/,,$\Delta^2 \log(x_t)$,6,Monthly
RPI,RPI,Real Personal Income (RPI),U.S. Bureau of Economic Analysis,Personal Income and Outlays,http://www.bea.gov/,https://www.bea.gov/data/income-saving/personal-income,8:30:00 AM ET,$\Delta \log(x_t)$,5,Monthly
RETAILx,RSAFS,Advance Retail Sales: Retail Trade and Food Services (RSAFS),U.S. Census Bureau,Advance Monthly Sales for Retail and Food Services,http://www.census.gov/,http://www.census.gov/retail/,,$\Delta \log(x_t)$,5,Monthly
SRVPRD,SRVPRD,"All Employees, Service-Providing (SRVPRD)",U.S. Bureau of Labor Statistics,Employment Situation,https://www.bls.gov/,http://www.bls.gov/ces/,,$\Delta \log(x_t)$,5,Monthly
T10YFFM,T10YFFM,10-Year Treasury Constant Maturity Minus Federal Funds Rate (T10YFFM),Federal Reserve Bank of St. Louis,Interest Rate Spreads,http://www.stlouisfed.org/,,,No transformation,1,Monthly
T1YFFM,T1YFFM,1-Year Treasury Constant Maturity Minus Federal Funds Rate (T1YFFM),Federal Reserve Bank of St. Louis,Interest Rate Spreads,http://www.stlouisfed.org/,,,No transformation,1,Monthly
T5YFFM,T5YFFM,5-Year Treasury Constant Maturity Minus Federal Funds Rate (T5YFFM),Federal Reserve Bank of St. Louis,Interest Rate Spreads,http://www.stlouisfed.org/,,,No transformation,1,Monthly
TB3MS,TB3MS,"3-Month Treasury Bill Secondary Market Rate, Discount Basis (TB3MS)",Board of Governors of the Federal Reserve System (US),H.15 Selected Interest Rates,http://www.federalreserve.gov/,http://www.federalreserve.gov/releases/h15/,,$\Delta x_t$,2,Monthly
TB3SMFFM,TB3SMFFM,3-Month Treasury Bill Minus Federal Funds Rate (TB3SMFFM),Federal Reserve Bank of St. Louis,Interest Rate Spreads,http://www.stlouisfed.org/,,,No transformation,1,Monthly
TB6MS,TB6MS,"6-Month Treasury Bill Secondary Market Rate, Discount Basis (TB6MS)",Board of Governors of the Federal Reserve System (US),H.15 Selected Interest Rates,http://www.federalreserve.gov/,http://www.federalreserve.gov/releases/h15/,,$\Delta x_t$,2,Monthly
TB6SMFFM,TB6SMFFM,6-Month Treasury Bill Minus Federal Funds Rate (TB6SMFFM),Federal Reserve Bank of St. Louis,Interest Rate Spreads,http://www.stlouisfed.org/,,,No transformation,1,Monthly
TOTRESNS,TOTRESNS,Reserves of Depository Institutions: Total (TOTRESNS),Board of Governors of the Federal Reserve System (US),H.6 Money Stock Measures,http://www.federalreserve.gov/,http://www.federalreserve.gov/releases/h6/,,$\Delta^2 \log(x_t)$,6,Monthly
TWEXAFEGSMTHx,TWEXAFEGSMTH,Nominal Advanced Foreign Economies U.S. Dollar Index (TWEXAFEGSMTH),Board of Governors of the Federal Reserve System (US),G.5 Foreign Exchange Rates,http://www.federalreserve.gov/,http://www.federalreserve.gov/releases/g5/,,$\Delta \log(x_t)$,5,Monthly
UEMP15OV,UEMP15OV,Number Unemployed for 15 Weeks & over (UEMP15OV),U.S. Bureau of Labor Statistics,Employment Situation,https://www.bls.gov/,http://www.bls.gov/ces/,,$\Delta \log(x_t)$,5,Monthly
UEMP15T26,UEMP15T26,Number Unemployed for 15-26 Weeks (UEMP15T26),U.S. Bureau of Labor Statistics,Employment Situation,https://www.bls.gov/,http://www.bls.gov/ces/,,$\Delta \log(x_t)$,5,Monthly
UEMP27OV,UEMP27OV,Number Unemployed for 27 Weeks & over (UEMP27OV),U.S. Bureau of Labor Statistics,Employment Situation,https://www.bls.gov/,http://www.bls.gov/ces/,,$\Delta \log(x_t)$,5,Monthly
UEMP5TO14,UEMP5TO14,Number Unemployed for 5-14 Weeks (UEMP5TO14),U.S. Bureau of Labor Statistics,Employment Situation,https://www.bls.gov/,http://www.bls.gov/ces/,,$\Delta \log(x_t)$,5,Monthly
UEMPLT5,UEMPLT5,Number Unemployed for Less Than 5 Weeks (UEMPLT5),U.S. Bureau of Labor Statistics,Employment Situation,https://www.bls.gov/,http://www.bls.gov/ces/,,$\Delta \log(x_t)$,5,Monthly
UEMPMEAN,UEMPMEAN,Average Weeks Unemployed (UEMPMEAN),U.S. Bureau of Labor Statistics,Employment Situation,https://www.bls.gov/,http://www.bls.gov/ces/,,$\Delta x_t$,2,Monthly
UMCSENTx,UMCSENT,University of Michigan: Consumer Sentiment (UMCSENT),University of Michigan,Surveys of Consumers,https://www.umich.edu/,http://www.sca.isr.umich.edu/,,$\Delta x_t$,2,Monthly
HWIURATIO,UNEMPLOY, Unemployment Level (UNEMPLOY),U.S. Bureau of Labor Statistics,Employment Situation,https://www.bls.gov/,http://www.bls.gov/ces/,,,,Monthly
UNRATE,UNRATE,Unemployment Rate (UNRATE),U.S. Bureau of Labor Statistics,Employment Situation,https://www.bls.gov/,http://www.bls.gov/ces/,8:30:00 AM ET,$\Delta x_t$,2,Monthly
USCONS,USCONS,"All Employees, Construction (USCONS)",U.S. Bureau of Labor Statistics,Employment Situation,https://www.bls.gov/,http://www.bls.gov/ces/,,$\Delta \log(x_t)$,5,Monthly
USFIRE,USFIRE,"All Employees, Financial Activities (USFIRE)",U.S. Bureau of Labor Statistics,Employment Situation,https://www.bls.gov/,http://www.bls.gov/ces/,,$\Delta \log(x_t)$,5,Monthly
USGOOD,USGOOD,"All Employees, Goods-Producing (USGOOD)",U.S. Bureau of Labor Statistics,Employment Situation,https://www.bls.gov/,http://www.bls.gov/ces/,,$\Delta \log(x_t)$,5,Monthly
USGOVT,USGOVT,"All Employees, Government (USGOVT)",U.S. Bureau of Labor Statistics,Employment Situation,https://www.bls.gov/,http://www.bls.gov/ces/,,$\Delta \log(x_t)$,5,Monthly
USTPU,USTPU,"All Employees, Trade, Transportation, and Utilities (USTPU)",U.S. Bureau of Labor Statistics,Employment Situation,https://www.bls.gov/,http://www.bls.gov/ces/,,$\Delta \log(x_t)$,5,Monthly
USTRADE,USTRADE,"All Employees, Retail Trade (USTRADE)",U.S. Bureau of Labor Statistics,Employment Situation,https://www.bls.gov/,http://www.bls.gov/ces/,,$\Delta \log(x_t)$,5,Monthly
USWTRADE,USWTRADE,"All Employees, Wholesale Trade (USWTRADE)",U.S. Bureau of Labor Statistics,Employment Situation,https://www.bls.gov/,http://www.bls.gov/ces/,,$\Delta \log(x_t)$,5,Monthly
W875RX1,W875RX1,Real personal income excluding current transfer receipts (W875RX1),U.S. Bureau of Economic Analysis,Personal Income and Outlays,http://www.bea.gov/,https://www.bea.gov/data/income-saving/personal-income,,$\Delta \log(x_t)$,5,Monthly
WPSFD49207,WPSFD49207,Producer Price Index by Commodity: Final Demand: Finished Goods (WPSFD49207),U.S. Bureau of Labor Statistics,Producer Price Index,https://www.bls.gov/,http://www.bls.gov/ppi/,,$\Delta^2 \log(x_t)$,6,Monthly
WPSFD49502,WPSFD49502,Producer Price Index by Commodity: Final Demand: Personal Consumption Goods (Finished Consumer Goods) (WPSFD49502),U.S. Bureau of Labor Statistics,Producer Price Index,https://www.bls.gov/,http://www.bls.gov/ppi/,,$\Delta^2 \log(x_t)$,6,Monthly
WPSID61,WPSID61,Producer Price Index by Commodity: Intermediate Demand by Commodity Type: Processed Goods for Intermediate Demand (WPSID61),U.S. Bureau of Labor Statistics,Producer Price Index,https://www.bls.gov/,http://www.bls.gov/ppi/,,$\Delta^2 \log(x_t)$,6,Monthly
WPSID62,WPSID62,Producer Price Index by Commodity: Intermediate Demand by Commodity Type: Unprocessed Goods for Intermediate Demand (WPSID62),U.S. Bureau of Labor Statistics,Producer Price Index,https://www.bls.gov/,http://www.bls.gov/ppi/,,$\Delta^2 \log(x_t)$,6,Monthly
CLAIMSx,ICNSA,Initial Claims (ICNSA),U.S. Employment and Training Administration,Unemployment Insurance Weekly Claims Report,https://www.dol.gov/agencies/eta,https://www.dol.gov/ui/data.pdf,,,,Monthly
VIXCLSx,VIXCLS,CBOE Volatility Index: VIX,Chicago Board Options Exchange,CBOE Market Statistics,http://www.cboe.com/,http://www.cboe.com/data/mktstat.aspx,,,,Monthly
