series_id,source_title,release_title,source_link,release_link,release_time,title,latex_equation,tcode,frequency
AAA,Moody's,Moody's Daily Corporate Bond Yield Average,https://www.moodys.com/,,,Moody's Seasoned Aaa Corporate Bond Yield (AAA),$\Delta x_t$,2,Monthly
AAAFFM,Federal Reserve Bank of St. Louis,Interest Rate Spreads,http://www.stlouisfed.org/,,,Moody's Seasoned Aaa Corporate Bond Minus Federal Funds Rate (AAAFFM),No transformation,1,Monthly
ACOGNO,U.S. Census Bureau,"Manufacturer's Shipments, Inventories, and Orders (M3) Survey",http://www.census.gov/,http://www.census.gov/indicator/www/m3/,,Manufacturers' New Orders: Consumer Goods (ACOGNO),$\Delta \log(x_t)$,5,Monthly
AMDMUO,U.S. Census Bureau,"Manufacturer's Shipments, Inventories, and Orders (M3) Survey",http://www.census.gov/,http://www.census.gov/indicator/www/m3/,,Manufacturers' Unfilled Orders: Durable Goods (AMDMUO),$\Delta \log(x_t)$,5,"Monthly,End of Period"
ANDENO,U.S. Census Bureau,"Manufacturer's Shipments, Inventories, and Orders (M3) Survey",http://www.census.gov/,http://www.census.gov/indicator/www/m3/,,Manufacturers' New Orders: Nondefense Capital Goods (ANDENO),$\Delta \log(x_t)$,5,Monthly
AWHMAN,U.S. Bureau of Labor Statistics,Employment Situation,https://www.bls.gov/,http://www.bls.gov/ces/,,"Average Weekly Hours of Production and Nonsupervisory Employees, Manufacturing (AWHMAN)",No transformation,1,Monthly
AWOTMAN,U.S. Bureau of Labor Statistics,Employment Situation,https://www.bls.gov/,http://www.bls.gov/ces/,,"Average Weekly Overtime Hours of Production and Nonsupervisory Employees, Manufacturing (AWOTMAN)",$\Delta x_t$,2,Monthly
BAA,Moody's,Moody's Daily Corporate Bond Yield Averages,https://www.moodys.com/,,,Moody's Seasoned Baa Corporate Bond Yield (BAA),$\Delta x_t$,2,Monthly
BAAFFM,Federal Reserve Bank of St. Louis,Interest Rate Spreads,http://www.stlouisfed.org/,,,Moody's Seasoned Baa Corporate Bond Minus Federal Funds Rate (BAAFFM),No transformation,1,Monthly
BOGMBASE,Board of Governors of the Federal Reserve System (US),H.6 Money Stock Measures,http://www.federalreserve.gov/,http://www.federalreserve.gov/releases/h6/,,Monetary Base; Total (BOGMBASE),$\Delta^2 \log(x_t)$,6,Monthly
BUSINV,U.S. Census Bureau,Manufacturing and Trade Inventories and Sales,http://www.census.gov/,http://www.census.gov/mtis/www/mtis.html,,Total Business Inventories (BUSINV),$\Delta \log(x_t)$,5,"Monthly,End of Period"
BUSLOANS,Board of Governors of the Federal Reserve System (US),H.8 Assets and Liabilities of Commercial Banks in the United States,http://www.federalreserve.gov/,http://www.federalreserve.gov/releases/h8/,,"Commercial and Industrial Loans, All Commercial Banks (BUSLOANS)",$\Delta^2 \log(x_t)$,6,Monthly
CE16OV,U.S. Bureau of Labor Statistics,Employment Situation,https://www.bls.gov/,http://www.bls.gov/ces/,,Employment Level (CE16OV),$\Delta \log(x_t)$,5,Monthly
CES0600000007,U.S. Bureau of Labor Statistics,Employment Situation,https://www.bls.gov/,http://www.bls.gov/ces/,,"Average Weekly Hours of Production and Nonsupervisory Employees, Goods-Producing (CES0600000007)",No transformation,1,Monthly
CES0600000008,U.S. Bureau of Labor Statistics,Employment Situation,https://www.bls.gov/,http://www.bls.gov/ces/,,"Average Hourly Earnings of Production and Nonsupervisory Employees, Goods-Producing (CES0600000008)",$\Delta^2 \log(x_t)$,6,Monthly
CES1021000001,U.S. Bureau of Labor Statistics,Employment Situation,https://www.bls.gov/,http://www.bls.gov/ces/,,"All Employees, Mining, Quarrying, and Oil and Gas Extraction (CES1021000001)",$\Delta \log(x_t)$,5,Monthly
CES2000000008,U.S. Bureau of Labor Statistics,Employment Situation,https://www.bls.gov/,http://www.bls.gov/ces/,,"Average Hourly Earnings of Production and Nonsupervisory Employees, Construction (CES2000000008)",$\Delta^2 \log(x_t)$,6,Monthly
CES3000000008,U.S. Bureau of Labor Statistics,Employment Situation,https://www.bls.gov/,http://www.bls.gov/ces/,,"Average Hourly Earnings of Production and Nonsupervisory Employees, Manufacturing (CES3000000008)",$\Delta^2 \log(x_t)$,6,Monthly
CLF16OV,U.S. Bureau of Labor Statistics,Employment Situation,https://www.bls.gov/,http://www.bls.gov/ces/,,Civilian Labor Force Level (CLF16OV),$\Delta \log(x_t)$,5,Monthly
CMRMTSPL,Federal Reserve Bank of St. Louis,"Supplemental Estimates, Underlying Detail Tables, Spliced Series",http://www.stlouisfed.org/,,,Real Manufacturing and Trade Industries Sales (CMRMTSPL),$\Delta \log(x_t)$,5,Monthly
CPF3M,Board of Governors of the Federal Reserve System (US),H.15 Selected Interest Rates,http://www.federalreserve.gov/,http://www.federalreserve.gov/releases/h15/,,90-Day AA Financial Commercial Paper Interest Rate (CPF3M),$\Delta x_t$,2,Monthly
CPIAPPSL,U.S. Bureau of Labor Statistics,Consumer Price Index,https://www.bls.gov/,http://www.bls.gov/cpi/,,Consumer Price Index for All Urban Consumers: Apparel in U.S. City Average (CPIAPPSL),$\Delta^2 \log(x_t)$,6,Monthly
CPIAUCSL,U.S. Bureau of Labor Statistics,Consumer Price Index,https://www.bls.gov/,http://www.bls.gov/cpi/,,Consumer Price Index for All Urban Consumers: All Items in U.S. City Average (CPIAUCSL),$\Delta^2 \log(x_t)$,6,Monthly
CPIMEDSL,U.S. Bureau of Labor Statistics,Consumer Price Index,https://www.bls.gov/,http://www.bls.gov/cpi/,,Consumer Price Index for All Urban Consumers: Medical Care in U.S. City Average (CPIMEDSL),$\Delta^2 \log(x_t)$,6,Monthly
CPITRNSL,U.S. Bureau of Labor Statistics,Consumer Price Index,https://www.bls.gov/,http://www.bls.gov/cpi/,,Consumer Price Index for All Urban Consumers: Transportation in U.S. City Average (CPITRNSL),$\Delta^2 \log(x_t)$,6,Monthly
CPIULFSL,U.S. Bureau of Labor Statistics,Consumer Price Index,https://www.bls.gov/,http://www.bls.gov/cpi/,,Consumer Price Index for All Urban Consumers: All Items Less Food in U.S. City Average (CPIULFSL),$\Delta^2 \log(x_t)$,6,Monthly
CUMFNS,Board of Governors of the Federal Reserve System (US),G.17 Industrial Production and Capacity Utilization,http://www.federalreserve.gov/,http://www.federalreserve.gov/releases/g17/,,Capacity Utilization: Manufacturing (SIC) (CUMFNS),$\Delta x_t$,2,Monthly
CUSR0000SA0L2,U.S. Bureau of Labor Statistics,Consumer Price Index,https://www.bls.gov/,http://www.bls.gov/cpi/,,Consumer Price Index for All Urban Consumers: All Items Less Shelter in U.S. City Average (CUSR0000SA0L2),$\Delta^2 \log(x_t)$,6,Monthly
CUSR0000SA0L5,U.S. Bureau of Labor Statistics,Consumer Price Index,https://www.bls.gov/,http://www.bls.gov/cpi/,,Consumer Price Index for All Urban Consumers: All Items Less Medical Care in U.S. City Average (CUSR0000SA0L5),$\Delta^2 \log(x_t)$,6,Monthly
CUSR0000SAC,U.S. Bureau of Labor Statistics,Consumer Price Index,https://www.bls.gov/,http://www.bls.gov/cpi/,,Consumer Price Index for All Urban Consumers: Commodities in U.S. City Average (CUSR0000SAC),$\Delta^2 \log(x_t)$,6,Monthly
CUSR0000SAD,U.S. Bureau of Labor Statistics,Consumer Price Index,https://www.bls.gov/,http://www.bls.gov/cpi/,,Consumer Price Index for All Urban Consumers: Durables in U.S. City Average (CUSR0000SAD),$\Delta^2 \log(x_t)$,6,Monthly
CUSR0000SAS,U.S. Bureau of Labor Statistics,Consumer Price Index,https://www.bls.gov/,http://www.bls.gov/cpi/,,Consumer Price Index for All Urban Consumers: Services in U.S. City Average (CUSR0000SAS),$\Delta^2 \log(x_t)$,6,Monthly
DDURRG3M086SBEA,U.S. Bureau of Economic Analysis,Personal Income and Outlays,http://www.bea.gov/,https://www.bea.gov/data/income-saving/personal-income,,Personal consumption expenditures: Durable goods (chain-type price index) (DDURRG3M086SBEA),$\Delta^2 \log(x_t)$,6,Monthly
DGORDER,U.S. Census Bureau,"Manufacturer's Shipments, Inventories, and Orders (M3) Survey",http://www.census.gov/,http://www.census.gov/indicator/www/m3/,,Manufacturers' New Orders: Durable Goods (DGORDER),$\Delta \log(x_t)$,5,Monthly
DMANEMP,U.S. Bureau of Labor Statistics,Employment Situation,https://www.bls.gov/,http://www.bls.gov/ces/,,"All Employees, Durable Goods (DMANEMP)",$\Delta \log(x_t)$,5,Monthly
DNDGRG3M086SBEA,U.S. Bureau of Economic Analysis,Personal Income and Outlays,http://www.bea.gov/,https://www.bea.gov/data/income-saving/personal-income,,Personal consumption expenditures: Nondurable goods (chain-type price index) (DNDGRG3M086SBEA),$\Delta^2 \log(x_t)$,6,Monthly
DPCERA3M086SBEA,U.S. Bureau of Economic Analysis,Personal Income and Outlays,http://www.bea.gov/,https://www.bea.gov/data/income-saving/personal-income,,Real personal consumption expenditures (chain-type quantity index) (DPCERA3M086SBEA),$\Delta \log(x_t)$,5,Monthly
DSERRG3M086SBEA,U.S. Bureau of Economic Analysis,Personal Income and Outlays,http://www.bea.gov/,https://www.bea.gov/data/income-saving/personal-income,,Personal consumption expenditures: Services (chain-type price index) (DSERRG3M086SBEA),$\Delta^2 \log(x_t)$,6,Monthly
DTCOLNVHFNM,Board of Governors of the Federal Reserve System (US),G.20 Finance Companies,http://www.federalreserve.gov/,http://www.federalreserve.gov/releases/g20/,,"Consumer Motor Vehicle Loans Owned by Finance Companies, Level (DTCOLNVHFNM)",$\Delta^2 \log(x_t)$,6,Monthly
DTCTHFNM,Board of Governors of the Federal Reserve System (US),G.20 Finance Companies,http://www.federalreserve.gov/,http://www.federalreserve.gov/releases/g20/,,"Total Consumer Loans and Leases Owned and Securitized by Finance Companies, Level (DTCTHFNM)",$\Delta^2 \log(x_t)$,6,Monthly
EXCAUS,Board of Governors of the Federal Reserve System (US),G.5 Foreign Exchange Rates,http://www.federalreserve.gov/,http://www.federalreserve.gov/releases/g5/,,Canadian Dollars to U.S. Dollar Spot Exchange Rate (EXCAUS),$\Delta \log(x_t)$,5,Monthly
EXJPUS,Board of Governors of the Federal Reserve System (US),G.5 Foreign Exchange Rates,http://www.federalreserve.gov/,http://www.federalreserve.gov/releases/g5/,,Japanese Yen to U.S. Dollar Spot Exchange Rate (EXJPUS),$\Delta \log(x_t)$,5,Monthly
EXSZUS,Board of Governors of the Federal Reserve System (US),G.5 Foreign Exchange Rates,http://www.federalreserve.gov/,http://www.federalreserve.gov/releases/g5/,,Swiss Francs to U.S. Dollar Spot Exchange Rate (EXSZUS),$\Delta \log(x_t)$,5,Monthly
EXUSUK,Board of Governors of the Federal Reserve System (US),G.5 Foreign Exchange Rates,http://www.federalreserve.gov/,http://www.federalreserve.gov/releases/g5/,,U.S. Dollars to U.K. Pound Sterling Spot Exchange Rate (EXUSUK),$\Delta \log(x_t)$,5,Monthly
FEDFUNDS,Board of Governors of the Federal Reserve System (US),H.15 Selected Interest Rates,http://www.federalreserve.gov/,http://www.federalreserve.gov/releases/h15/,,Federal Funds Effective Rate (FEDFUNDS),$\Delta x_t$,2,Monthly
GS1,Board of Governors of the Federal Reserve System (US),H.15 Selected Interest Rates,http://www.federalreserve.gov/,http://www.federalreserve.gov/releases/h15/,,"Market Yield on U.S. Treasury Securities at 1-Year Constant Maturity, Quoted on an Investment Basis (GS1)",$\Delta x_t$,2,Monthly
GS10,Board of Governors of the Federal Reserve System (US),H.15 Selected Interest Rates,http://www.federalreserve.gov/,http://www.federalreserve.gov/releases/h15/,,"Market Yield on U.S. Treasury Securities at 10-Year Constant Maturity, Quoted on an Investment Basis (GS10)",$\Delta x_t$,2,Monthly
GS5,Board of Governors of the Federal Reserve System (US),H.15 Selected Interest Rates,http://www.federalreserve.gov/,http://www.federalreserve.gov/releases/h15/,,"Market Yield on U.S. Treasury Securities at 5-Year Constant Maturity, Quoted on an Investment Basis (GS5)",$\Delta x_t$,2,Monthly
HOUST,U.S. Census Bureau,New Residential Construction,http://www.census.gov/,http://www.census.gov/construction/nrc/,,New Privately-Owned Housing Units Started: Total Units (HOUST),$\log(x_t)$,4,Monthly
HOUSTMW,U.S. Census Bureau,New Residential Construction,http://www.census.gov/,http://www.census.gov/construction/nrc/,,New Privately-Owned Housing Units Started: Total Units in the Midwest Census Region (HOUSTMW),$\log(x_t)$,4,Monthly
HOUSTNE,U.S. Census Bureau,New Residential Construction,http://www.census.gov/,http://www.census.gov/construction/nrc/,,New Privately-Owned Housing Units Started: Total Units in the Northeast Census Region (HOUSTNE),$\log(x_t)$,4,Monthly
HOUSTS,U.S. Census Bureau,New Residential Construction,http://www.census.gov/,http://www.census.gov/construction/nrc/,,New Privately-Owned Housing Units Started: Total Units in the South Census Region (HOUSTS),$\log(x_t)$,4,Monthly
HOUSTW,U.S. Census Bureau,New Residential Construction,http://www.census.gov/,http://www.census.gov/construction/nrc/,,New Privately-Owned Housing Units Started: Total Units in the West Census Region (HOUSTW),$\log(x_t)$,4,Monthly
INDPRO,Board of Governors of the Federal Reserve System (US),G.17 Industrial Production and Capacity Utilization,http://www.federalreserve.gov/,http://www.federalreserve.gov/releases/g17/,,Industrial Production: Total Index (INDPRO),$\Delta \log(x_t)$,5,Monthly
INVEST,Board of Governors of the Federal Reserve System (US),H.8 Assets and Liabilities of Commercial Banks in the United States,http://www.federalreserve.gov/,http://www.federalreserve.gov/releases/h8/,,"Securities in Bank Credit, All Commercial Banks (INVEST)",$\Delta^2 \log(x_t)$,6,Monthly
IPB51222S,Board of Governors of the Federal Reserve System (US),G.17 Industrial Production and Capacity Utilization,http://www.federalreserve.gov/,http://www.federalreserve.gov/releases/g17/,,Industrial Production: Non-Durable Consumer Energy Products: Residential Utilities (IPB51222S),$\Delta \log(x_t)$,5,Monthly
IPBUSEQ,Board of Governors of the Federal Reserve System (US),G.17 Industrial Production and Capacity Utilization,http://www.federalreserve.gov/,http://www.federalreserve.gov/releases/g17/,,Industrial Production: Equipment: Business Equipment (IPBUSEQ),$\Delta \log(x_t)$,5,Monthly
